RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
INH022404,INH022400,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022501,INH022500,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022502,INH022500,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022503,INH022500,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022504,INH022500,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022601,INH022600,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022602,INH022600,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022603,INH022600,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022701,INH022700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022702,INH022700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022703,INH022700,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022801,INH022800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022802,INH022800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022803,INH022800,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022901,INH022900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022902,INH022900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022903,INH022900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH022904,INH022900,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023001,INH023000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023002,INH023000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023003,INH023000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023004,INH023000,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023101,INH023100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023102,INH023100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023103,INH023100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH023104,INH023100,INH020000,rRNA,INH02_NovakProducers,False,In-House,Single
INH030101,INH030100,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030102,INH030100,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030201,INH030200,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030202,INH030200,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030301,INH030300,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030302,INH030300,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030401,INH030400,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030402,INH030400,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030501,INH030500,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030502,INH030500,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030601,INH030600,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030602,INH030600,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030701,INH030700,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030702,INH030700,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030801,INH030800,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030802,INH030800,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030901,INH030900,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH030902,INH030900,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031001,INH031000,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031002,INH031000,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031101,INH031100,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031102,INH031100,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031201,INH031200,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031202,INH031200,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031301,INH031300,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031302,INH031300,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031401,INH031400,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH031402,INH031400,INH030000,rRNA,INH03_WeingunySubclones,False,In-House,Single
INH040101,INH040100,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040102,INH040100,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040201,INH040200,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040202,INH040200,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040301,INH040300,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040302,INH040300,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040401,INH040400,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040402,INH040400,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040501,INH040500,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040502,INH040500,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040601,INH040600,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040602,INH040600,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040701,INH040700,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040702,INH040700,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040801,INH040800,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040802,INH040800,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040901,INH040900,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH040902,INH040900,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041001,INH041000,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041002,INH041000,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041101,INH041100,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041102,INH041100,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041201,INH041200,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH041202,INH041200,INH040000,rRNA,INH04_WeingunySubclonability,False,In-House,Single
INH050101,INH050100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050102,INH050100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050103,INH050100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050104,INH050100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050201,INH050200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050202,INH050200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050203,INH050200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050204,INH050200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050301,INH050300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050302,INH050300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050303,INH050300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050304,INH050300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050401,INH050400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050402,INH050400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050403,INH050400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050404,INH050400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050501,INH050500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH050502,INH050500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
